pareto_number,morphology,morphology_type,n_instances,beta_range_min,beta_range_max,distribution_type,random_seed,gamma,theta,m0,h,beta_prime,Nvirt,MC,KR,GR,CQ,calculation_time,success,error
321,gradient,gradient,5.0,37.3595503626868,56.0393255440302,linear,,0.0156000895523827,0.4400275895755561,0.0024490921960693,0.3438491851897433,46.6994379533585,387,3.611260119567937,1.0,1.0,0.0,1241.3807439804077,True,
321,random,random,5.0,37.3595503626868,56.0393255440302,,1234.0,0.0156000895523827,0.4400275895755561,0.0024490921960693,0.3438491851897433,46.6994379533585,387,3.474697204457505,1.0,1.0,0.0,1241.7855892181396,True,
330,homogeneous,homogeneous,,47.884114292673885,47.884114292673885,,,0.0537462791359035,0.0842976310616293,0.0058845236045556,0.4331340339328041,47.884114292673885,388,6.044097040714889,108.0,38.0,70.0,1039.638221502304,True,
330,gradient,gradient,5.0,38.30729143413911,57.46093715120866,linear,,0.0537462791359035,0.0842976310616293,0.0058845236045556,0.4331340339328041,47.884114292673885,388,5.542968330258878,3.0,3.0,0.0,1253.7324452400208,True,
330,random,random,5.0,38.30729143413911,57.46093715120866,,1234.0,0.0537462791359035,0.0842976310616293,0.0058845236045556,0.4331340339328041,47.884114292673885,388,5.943555715686937,4.0,2.0,2.0,1249.2400207519531,True,
344,homogeneous,homogeneous,,45.50633412511019,45.50633412511019,,,0.0296431276161953,0.3312300522849528,0.0058845236045556,0.4331340339328041,45.50633412511019,315,4.713102753355209,198.0,96.0,102.0,709.0900299549103,True,
344,gradient,gradient,5.0,36.405067300088156,54.60760095013223,linear,,0.0296431276161953,0.3312300522849528,0.0058845236045556,0.4331340339328041,45.50633412511019,315,5.176066628609153,2.0,1.0,1.0,847.3110110759735,True,
344,random,random,5.0,36.405067300088156,54.60760095013223,,1234.0,0.0296431276161953,0.3312300522849528,0.0058845236045556,0.4331340339328041,45.50633412511019,315,5.041747696069381,2.0,1.0,1.0,845.4603130817413,True,
364,homogeneous,homogeneous,,40.66463236801917,40.66463236801917,,,0.0170052570787062,0.3875693695463503,0.005263302416213,0.4837945426144974,40.66463236801917,315,3.668964355496261,193.0,81.0,112.0,708.328203201294,True,
364,gradient,gradient,5.0,32.53170589441534,48.797558841623,linear,,0.0170052570787062,0.3875693695463503,0.005263302416213,0.4837945426144974,40.66463236801917,315,3.7301733601796085,2.0,1.0,1.0,848.1679685115814,True,
364,random,random,5.0,32.53170589441534,48.797558841623,,1234.0,0.0170052570787062,0.3875693695463503,0.005263302416213,0.4837945426144974,40.66463236801917,315,3.756887924201374,2.0,1.0,1.0,845.7665140628815,True,
379,homogeneous,homogeneous,,35.13826524755751,35.13826524755751,,,0.069274461903986,0.3414223597969839,0.00528861287487,0.4607867044725622,35.13826524755751,267,5.440903454149687,150.0,70.0,80.0,519.1352427005768,True,
379,gradient,gradient,5.0,28.11061219804601,42.16591829706901,linear,,0.069274461903986,0.3414223597969839,0.00528861287487,0.4607867044725622,35.13826524755751,267,5.105214152988697,3.0,3.0,0.0,623.3070042133331,True,
379,random,random,5.0,28.11061219804601,42.16591829706901,,1234.0,0.069274461903986,0.3414223597969839,0.00528861287487,0.4607867044725622,35.13826524755751,267,6.013050274163387,3.0,3.0,0.0,623.7820494174957,True,
384,homogeneous,homogeneous,,37.58409019257157,37.58409019257157,,,0.069274461903986,0.3875693695463503,0.0058845236045556,0.4126924447161653,37.58409019257157,267,5.499593593702729,170.0,93.0,77.0,519.9602556228638,True,
384,gradient,gradient,5.0,30.067272154057257,45.10090823108589,linear,,0.069274461903986,0.3875693695463503,0.0058845236045556,0.4126924447161653,37.58409019257157,267,5.381635185067049,3.0,3.0,0.0,628.6442489624023,True,
384,random,random,5.0,30.067272154057257,45.10090823108589,,1234.0,0.069274461903986,0.3875693695463503,0.0058845236045556,0.4126924447161653,37.58409019257157,267,5.6770020554499885,4.0,3.0,1.0,624.2505643367767,True,
388,homogeneous,homogeneous,,34.298146994547146,34.298146994547146,,,0.0657200835865795,0.2741079299398312,0.0045039572542957,0.4627329255425477,34.298146994547146,267,5.544964135956436,114.0,41.0,73.0,519.7325024604797,True,
