study_id,run_id,pair_name,grid_index,x_parameter,x_index,x_value,y_parameter,y_index,y_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,18,gamma,4,0.15250000000000002,beta_spread,3,5.5,heterogeneous,candidate,gamma__beta_spread_grid_18_heterogeneous,completed,,,20.0,0.2,0.15250000000000002,0.01,5,5.5,20.0,0.2,0.15250000000000002,0.01,5,5.5,100,distributional_beta,random,equal,3897761708,3041141250,1564353106,1114174333,1.7899726694368594,79.0,68.0,11.0,138.69811609992757,2026-03-15T20:43:13Z,2026-03-15T20:45:32Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,19,gamma,4,0.15250000000000002,beta_spread,4,7.75,uniform,baseline,gamma__beta_spread_grid_19_uniform,completed,,,20.0,0.2,0.15250000000000002,0.01,5,7.75,20.0,0.2,0.15250000000000002,0.01,,,100,uniform,,,,1402838861,3990742361,211393203,3.379103575957849,88.0,78.0,10.0,94.18929999996908,2026-03-15T20:45:32Z,2026-03-15T20:47:06Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,19,gamma,4,0.15250000000000002,beta_spread,4,7.75,heterogeneous,candidate,gamma__beta_spread_grid_19_heterogeneous,completed,,,20.0,0.2,0.15250000000000002,0.01,5,7.75,20.0,0.2,0.15250000000000002,0.01,5,7.75,100,distributional_beta,random,equal,3897761708,1402838861,3990742361,211393203,2.0845453386305923,81.0,72.0,9.0,138.03087130002677,2026-03-15T20:47:06Z,2026-03-15T20:49:24Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,20,gamma,4,0.15250000000000002,beta_spread,5,10.0,uniform,baseline,gamma__beta_spread_grid_20_uniform,completed,,,20.0,0.2,0.15250000000000002,0.01,5,10.0,20.0,0.2,0.15250000000000002,0.01,,,100,uniform,,,,2676868195,456864059,3972935515,5.189435833898758,89.0,76.0,13.0,94.1267438000068,2026-03-15T20:49:24Z,2026-03-15T20:50:58Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,20,gamma,4,0.15250000000000002,beta_spread,5,10.0,heterogeneous,candidate,gamma__beta_spread_grid_20_heterogeneous,completed,,,20.0,0.2,0.15250000000000002,0.01,5,10.0,20.0,0.2,0.15250000000000002,0.01,5,10.0,100,distributional_beta,random,equal,3897761708,2676868195,456864059,3972935515,0.9991139395361149,65.0,47.0,18.0,137.612691400107,2026-03-15T20:50:58Z,2026-03-15T20:53:16Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,21,gamma,5,0.2,beta_spread,1,1.0,uniform,baseline,gamma__beta_spread_grid_21_uniform,completed,,,20.0,0.2,0.2,0.01,5,1.0,20.0,0.2,0.2,0.01,,,100,uniform,,,,2588450956,4065245904,2494878885,2.3485066628618085,91.0,91.0,0.0,94.49053580011241,2026-03-15T20:53:16Z,2026-03-15T20:54:50Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,21,gamma,5,0.2,beta_spread,1,1.0,heterogeneous,candidate,gamma__beta_spread_grid_21_heterogeneous,completed,,,20.0,0.2,0.2,0.01,5,1.0,20.0,0.2,0.2,0.01,5,1.0,100,distributional_beta,random,equal,3897761708,2588450956,4065245904,2494878885,2.0998913032206983,81.0,81.0,0.0,137.4218753001187,2026-03-15T20:54:50Z,2026-03-15T20:57:08Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,22,gamma,5,0.2,beta_spread,2,3.25,uniform,baseline,gamma__beta_spread_grid_22_uniform,completed,,,20.0,0.2,0.2,0.01,5,3.25,20.0,0.2,0.2,0.01,,,100,uniform,,,,3668776430,747212749,1642908120,0.5225450290438806,62.0,64.0,-2.0,93.61611800012179,2026-03-15T20:57:08Z,2026-03-15T20:58:41Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,22,gamma,5,0.2,beta_spread,2,3.25,heterogeneous,candidate,gamma__beta_spread_grid_22_heterogeneous,completed,,,20.0,0.2,0.2,0.01,5,3.25,20.0,0.2,0.2,0.01,5,3.25,100,distributional_beta,random,equal,3897761708,3668776430,747212749,1642908120,0.8403446986527077,77.0,81.0,-4.0,139.20367159997113,2026-03-15T20:58:41Z,2026-03-15T21:01:01Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,23,gamma,5,0.2,beta_spread,3,5.5,uniform,baseline,gamma__beta_spread_grid_23_uniform,completed,,,20.0,0.2,0.2,0.01,5,5.5,20.0,0.2,0.2,0.01,,,100,uniform,,,,2577907029,2110244149,640909378,2.9986134562745232,95.0,94.0,1.0,94.20566520001739,2026-03-15T21:01:01Z,2026-03-15T21:02:35Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,23,gamma,5,0.2,beta_spread,3,5.5,heterogeneous,candidate,gamma__beta_spread_grid_23_heterogeneous,completed,,,20.0,0.2,0.2,0.01,5,5.5,20.0,0.2,0.2,0.01,5,5.5,100,distributional_beta,random,equal,3897761708,2577907029,2110244149,640909378,1.7605652232327684,92.0,91.0,1.0,137.40155249997042,2026-03-15T21:02:35Z,2026-03-15T21:04:52Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,24,gamma,5,0.2,beta_spread,4,7.75,uniform,baseline,gamma__beta_spread_grid_24_uniform,completed,,,20.0,0.2,0.2,0.01,5,7.75,20.0,0.2,0.2,0.01,,,100,uniform,,,,2756550380,142529811,1933196339,1.3008917260513022,36.0,43.0,-7.0,94.19314760016277,2026-03-15T21:04:52Z,2026-03-15T21:06:26Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,24,gamma,5,0.2,beta_spread,4,7.75,heterogeneous,candidate,gamma__beta_spread_grid_24_heterogeneous,completed,,,20.0,0.2,0.2,0.01,5,7.75,20.0,0.2,0.2,0.01,5,7.75,100,distributional_beta,random,equal,3897761708,2756550380,142529811,1933196339,1.202542271354425,12.0,18.0,-6.0,137.83083709981292,2026-03-15T21:06:26Z,2026-03-15T21:08:44Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,25,gamma,5,0.2,beta_spread,5,10.0,uniform,baseline,gamma__beta_spread_grid_25_uniform,completed,,,20.0,0.2,0.2,0.01,5,10.0,20.0,0.2,0.2,0.01,,,100,uniform,,,,436203271,3630738513,2012997096,2.8988748201550627,41.0,43.0,-2.0,94.1302074000705,2026-03-15T21:08:44Z,2026-03-15T21:10:18Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,25,gamma,5,0.2,beta_spread,5,10.0,heterogeneous,candidate,gamma__beta_spread_grid_25_heterogeneous,completed,,,20.0,0.2,0.2,0.01,5,10.0,20.0,0.2,0.2,0.01,5,10.0,100,distributional_beta,random,equal,3897761708,436203271,3630738513,2012997096,3.5698822579721172,15.0,18.0,-3.0,137.50391410011798,2026-03-15T21:10:18Z,2026-03-15T21:12:36Z
