number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_softgate_score,attr_softgate_info.Sat,attr_softgate_info.Drift,attr_softgate_info.LagRatio,attr_softgate_info.THD,attr_softgate_info.z_sat,attr_softgate_info.z_drift,attr_softgate_info.z_lag,attr_softgate_info.z_thd,attr_CQ,attr_GR,attr_KR,attr_MC
505,COMPLETE,"[11.0, 5.06329268886714]",2025-09-06T03:17:04.482623,2025-09-06T03:25:05.727190,481.244567,0.054491652422439966,0.2865314336337106,0.05612647361535459,50.0,passed,0.6710801915159297,0.274,0.046084386013401396,0.08,0.40599484792288015,0.726,0.9539156139865986,0.4,0.4925064400963999,11.0,3.0,14.0,5.06329268886714
506,COMPLETE,"[7.0, 3.45448875333863]",2025-09-06T03:25:05.739201,2025-09-06T03:33:07.518362,481.779161,0.07897467170455848,0.06453812114986665,0.074426843336727,50.0,passed,0.566533672483195,0.452,0.04977681965977688,0.052,0.4592884904074434,0.548,0.9502231803402231,0.2599999999999999,0.4258893869906958,7.0,11.0,18.0,3.45448875333863
507,COMPLETE,"[12.0, 5.062094321858576]",2025-09-06T03:33:07.530372,2025-09-06T03:41:09.604599,482.074227,0.054491652422439966,0.09818239231284726,0.08812247887641943,50.0,passed,0.5714340818459145,0.498,0.03322240607915154,0.028,0.2958412665371906,0.502,0.9667775939208485,0.14,0.6301984168285117,12.0,3.0,15.0,5.062094321858576
508,COMPLETE,"[11.0, 5.002369165260966]",2025-09-06T03:41:09.616610,2025-09-06T03:49:11.600753,481.984143,0.054491652422439966,0.16888521590617497,0.074426843336727,50.0,passed,0.5997368507386448,0.461,0.04606591579318382,0.056,0.33358668125223667,0.5389999999999999,0.9539340842068161,0.2799999999999999,0.5830166484347041,11.0,3.0,14.0,5.002369165260966
509,COMPLETE,"[-5.0, -5.0]",2025-09-06T03:49:11.611764,2025-09-06T03:49:12.281361,0.669597,0.07906960719510954,0.28071420671246516,0.05612647361535459,50.0,penalized,0.6235625583635469,0.314,0.010149766545812334,0.136,0.883195336057224,0.6859999999999999,0.9898502334541877,0.6799999999999999,0.0,,,,
510,COMPLETE,"[12.0, 4.5522227249592895]",2025-09-06T03:49:12.292371,2025-09-06T03:57:14.424249,482.131878,0.054491652422439966,0.152049361907205,0.09834491298184476,50.0,passed,0.5700084382992107,0.535,0.040634754162425284,0.04,0.290331492640732,0.46499999999999997,0.9593652458375748,0.20000000000000007,0.637085634199085,12.0,3.0,15.0,4.5522227249592895
511,COMPLETE,"[10.0, 5.24337736965079]",2025-09-06T03:57:14.436260,2025-09-06T04:05:16.205451,481.769191,0.054491652422439966,0.3083846793047826,0.04198159208705544,50.0,passed,0.6783562245782325,0.236,0.037065211275381156,0.092,0.48710989041168845,0.764,0.9629347887246188,0.45999999999999996,0.39111263698538945,10.0,3.0,13.0,5.24337736965079
512,COMPLETE,"[-5.0, -5.0]",2025-09-06T04:05:16.216461,2025-09-06T04:05:16.884057,0.667596,0.5269983038806608,0.4083943472670089,0.014515330816431443,50.0,penalized,0.2996969501269415,0.697,0.22541219949223412,2.396,4.125040113883157,0.30300000000000005,0.7745878005077659,0.0,0.0,,,,
513,COMPLETE,"[4.0, 4.681866649462972]",2025-09-06T04:05:16.896067,2025-09-06T04:13:19.325104,482.429037,0.054491652422439966,0.5863825659551981,0.017766519352954382,50.0,passed,0.6714434054951983,0.204,0.00897662513661957,0.12,0.6996497528825869,0.796,0.9910233748633804,0.5999999999999999,0.12543780889676637,4.0,4.0,8.0,4.681866649462972
514,COMPLETE,"[-5.0, -5.0]",2025-09-06T04:13:19.336114,2025-09-06T04:13:20.002710,0.666596,0.6257750088105417,0.11360045657727304,0.026000780829037982,50.0,penalized,0.29600964379146205,0.739,0.18136142483415185,1.236,4.887362032638814,0.261,0.8186385751658481,0.0,0.0,,,,
