number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
48,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:33:27.016854,2025-09-01T17:34:05.847257,38.830403,0.7098199290405751,0.32416593166497426,0.014466897641412017,50.0,penalized,1.0271325568476617,,,,
49,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:34:05.858267,2025-09-01T17:34:44.695679,38.837412,0.1749167230619044,0.25337223734457004,0.0695836976959278,50.0,penalized,1.0066325757392334,,,,
50,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:34:44.705688,2025-09-01T17:35:23.448909,38.743221,0.23824699491070156,0.37095079867218345,0.018271549267118777,50.0,penalized,1.0065784600516474,,,,
51,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:35:23.459977,2025-09-01T17:36:02.329262,38.869285,0.7792086897624141,0.16557461757483657,0.08085558846800145,50.0,penalized,1.0035030016702478,,,,
52,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:36:02.340272,2025-09-01T17:36:41.088038,38.747766,0.615259464156181,0.10167380407080019,0.09346038211897897,50.0,penalized,1.0063480283544541,,,,
53,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:36:41.098048,2025-09-01T17:37:19.904219,38.806171,0.1449851164407935,0.270462438088082,0.048734974765300275,50.0,penalized,2.373886491242512,,,,
54,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:37:19.914233,2025-09-01T17:37:58.740329,38.826096,0.5333254073037169,0.4640439513542001,0.07677661497353078,50.0,penalized,4.087235789432779,,,,
55,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:37:58.751037,2025-09-01T17:38:37.447588,38.696551,0.6208322009924598,0.04010414163334011,0.008389068378655998,50.0,penalized,1.005099661149414,,,,
56,COMPLETE,"[6.0, 2.7325356931679172]",2025-09-01T17:38:37.457597,2025-09-01T17:47:09.096128,511.638531,0.018684106259104195,0.4959590876886059,0.07974015671441816,50.0,passed,0.8560307019440095,6.0,1.0,7.0,2.7325356931679172
57,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:47:09.107138,2025-09-01T17:47:48.098980,38.991842,0.6949977535483367,0.4400706861946073,0.04330214481678207,50.0,penalized,1.0253852872536382,,,,
58,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:47:48.109470,2025-09-01T17:48:27.126774,39.017304,0.062393264841683393,0.31122188981425875,0.08841037521364263,50.0,penalized,1.7200757775410516,,,,
59,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:48:27.136580,2025-09-01T17:49:05.964395,38.827815,0.23053093580248607,0.1972150816888882,0.01854565009747748,50.0,penalized,1.0048706635715121,,,,
60,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:49:05.975405,2025-09-01T17:49:44.651837,38.676432,0.6309130888148528,0.24895860238200893,0.07484927876251532,50.0,penalized,5.536383606741936,,,,
61,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:49:44.661755,2025-09-01T17:50:23.537119,38.875364,0.19537814434458867,0.1972150816888882,0.060747627814986514,50.0,penalized,1.068338879312516,,,,
62,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:50:23.549130,2025-09-01T17:51:02.266477,38.717347,0.4763269394521934,0.44435796665136545,0.022207647333098896,50.0,penalized,1.0387465362919683,,,,
