number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
52,COMPLETE,"[139.0, 4.274695715368013]",2025-10-10T18:02:59.699185,2025-10-10T18:11:05.956582,486.257397,0.037868462419147327,0.5003283897873377,0.001,50.0
53,COMPLETE,"[74.0, 6.219295470407178]",2025-10-10T18:11:05.966591,2025-10-10T18:19:12.291047,486.324456,0.05336630475297835,0.12609711689397016,0.008,50.0
54,COMPLETE,"[134.0, 5.020454217905746]",2025-10-10T18:19:12.301057,2025-10-10T18:27:17.175913,484.874856,0.03201081778115354,0.16245796528619505,0.0039206559163213655,50.0
55,COMPLETE,"[76.0, 5.449913307129932]",2025-10-10T18:27:17.185921,2025-10-10T18:35:21.144057,483.958136,0.04658894819186891,0.3903735398418857,0.008,50.0
56,COMPLETE,"[68.0, 6.258547772763927]",2025-10-10T18:35:21.154066,2025-10-10T18:43:26.412748,485.258682,0.05411185226209726,0.12264694922864784,0.008,50.0
57,COMPLETE,"[142.0, 3.7096803470115938]",2025-10-10T18:43:26.423757,2025-10-10T18:51:30.234997,483.81124,0.04801179760904569,0.01,0.008,50.0
58,COMPLETE,"[121.0, 5.714149577800333]",2025-10-10T18:51:30.246006,2025-10-10T18:59:35.147448,484.901442,0.039545122081522895,0.1013715534003178,0.008,50.0
59,COMPLETE,"[65.0, 6.291153011202421]",2025-10-10T18:59:35.157457,2025-10-10T19:07:40.220788,485.063331,0.05495805904147877,0.10779223982702262,0.008,50.0
60,COMPLETE,"[138.0, 4.351954453079182]",2025-10-10T19:07:40.231797,2025-10-10T19:15:45.950120,485.718323,0.032285578060322444,0.25013602141647634,0.001,50.0
61,COMPLETE,"[141.0, 3.704894218555589]",2025-10-10T19:15:45.961130,2025-10-10T19:23:51.294095,485.332965,0.04779939412324464,0.01,0.008,50.0
62,COMPLETE,"[14.0, 0.9344955123061923]",2025-10-10T19:23:51.305105,2025-10-10T19:31:56.355557,485.050452,0.23045080636047463,0.6,0.008,50.0
63,COMPLETE,"[61.0, 6.250071443608423]",2025-10-10T19:31:56.367567,2025-10-10T19:39:59.310657,482.94309,0.058088775817206464,0.07812334126833556,0.008,50.0
64,COMPLETE,"[144.0, 4.457173781024057]",2025-10-10T19:39:59.320665,2025-10-10T19:47:55.707245,476.38658,0.036848252807618345,0.36809430693066075,0.001,50.0
65,COMPLETE,"[142.0, 4.456692384272327]",2025-10-10T19:47:55.718255,2025-10-10T19:55:53.586158,477.867903,0.036896807889229395,0.36361535699119674,0.001,50.0
66,COMPLETE,"[141.0, 4.50072969079198]",2025-10-10T19:55:53.597167,2025-10-10T20:03:50.752433,477.155266,0.041091121143116825,0.43586670219585105,0.001,50.0
67,COMPLETE,"[87.0, 6.295839352953544]",2025-10-10T20:03:50.762442,2025-10-10T20:11:47.582408,476.819966,0.053858153256538886,0.09026124436371576,0.008,50.0
68,COMPLETE,"[76.0, 5.839421909670987]",2025-10-10T20:11:47.592417,2025-10-10T20:19:44.431401,476.838984,0.05024967828314204,0.2749598755601155,0.008,50.0
69,COMPLETE,"[127.0, 5.8512760068336735]",2025-10-10T20:19:44.443411,2025-10-10T20:27:41.799856,477.356445,0.0425617815385754,0.07739560487844822,0.008,50.0
70,COMPLETE,"[121.0, 5.894188120150854]",2025-10-10T20:27:41.809865,2025-10-10T20:35:38.231476,476.421611,0.049240504649260636,0.08843120786396834,0.0057839553870331455,50.0
71,COMPLETE,"[139.0, 5.6790176235951595]",2025-10-10T20:35:38.242485,2025-10-10T20:43:34.954355,476.71187,0.041468049108956066,0.08316693496235794,0.00565159624993838,50.0
72,COMPLETE,"[0.0, 0.0]",2025-10-10T20:43:34.965365,2025-10-10T20:51:31.749299,476.783934,0.3624324738156688,0.2500174080963566,0.008,50.0
73,COMPLETE,"[138.0, 3.5653778998987686]",2025-10-10T20:51:31.759308,2025-10-10T20:59:28.735414,476.976106,0.04974514394529796,0.01,0.006046531887910895,50.0
74,COMPLETE,"[7.0, 1.098673486644787]",2025-10-10T20:59:28.745422,2025-10-10T21:07:26.014791,477.269369,0.5,0.30223126443193116,0.008,50.0
75,COMPLETE,"[140.0, 4.38860479698731]",2025-10-10T21:07:26.024799,2025-10-10T21:15:22.942853,476.918054,0.03453771898942668,0.3718384515460024,0.001,50.0
76,COMPLETE,"[137.0, 5.405421526365741]",2025-10-10T21:15:22.953863,2025-10-10T21:23:19.864911,476.911048,0.03700478724317552,0.12142665896164989,0.003781623145430081,50.0
77,COMPLETE,"[11.0, 0.17003068107450223]",2025-10-10T21:23:19.876921,2025-10-10T21:31:17.460122,477.583201,0.37637677624401045,0.01,0.001,50.0
78,COMPLETE,"[5.0, 0.0]",2025-10-10T21:31:17.472132,2025-10-10T21:39:13.522591,476.050459,0.29608936043729817,0.21578256772016532,0.008,50.0
79,COMPLETE,"[146.0, 4.6107780277233035]",2025-10-10T21:39:13.533600,2025-10-10T21:47:10.297136,476.763536,0.037573067863638905,0.32556001682153346,0.001,50.0
80,COMPLETE,"[50.0, 0.9165684425701393]",2025-10-10T21:47:10.308146,2025-10-10T21:55:06.998858,476.690712,0.20527040035804595,0.01,0.008,50.0
81,COMPLETE,"[130.0, 5.881892403152882]",2025-10-10T21:55:07.008867,2025-10-10T22:03:03.747725,476.738858,0.04430436209622586,0.09069646283355627,0.006725899095854438,50.0
82,COMPLETE,"[150.0, 4.725064593713942]",2025-10-10T22:03:03.758734,2025-10-10T22:11:00.315718,476.556984,0.039472221765676496,0.3225918678225959,0.001,50.0
83,COMPLETE,"[131.0, 4.850110986376809]",2025-10-10T22:11:00.326729,2025-10-10T22:18:56.958636,476.631907,0.04653161376571973,0.3514740097330805,0.001,50.0
84,COMPLETE,"[113.0, 6.0550339406588805]",2025-10-10T22:18:56.968645,2025-10-10T22:26:54.099351,477.130706,0.04807765925277826,0.0866767477504093,0.008,50.0
