number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
41,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:10:54.963211,2025-08-29T14:11:34.320619,39.357408,0.32253685155295375,0.31212092591476365,0.006950150919521272,20.0,penalized,4.478621092331122,,,,
42,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:11:34.331040,2025-08-29T14:12:13.359568,39.028528,0.45606434258437495,0.12443508571583178,0.0024628728352616407,20.0,penalized,1.0052595626865906,,,,
43,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:12:13.369841,2025-08-29T14:12:52.416093,39.046252,0.48203377109775064,0.027113896788300652,0.005703466228369544,20.0,penalized,1.0354623229918933,,,,
44,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:12:52.427103,2025-08-29T14:13:31.472708,39.045605,0.2152831124986203,0.2729963333849318,0.007665544381080207,20.0,penalized,6.398596352347249,,,,
45,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:13:31.483718,2025-08-29T14:14:10.503199,39.019481,0.20845155242189667,0.38895033994518113,0.007275981578156855,20.0,penalized,13.122603942113154,,,,
46,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:14:10.513162,2025-08-29T14:14:49.523380,39.010218,0.17438549804838122,0.03283078039033394,0.005577019284237824,20.0,penalized,3.584686289614519,,,,
47,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:14:49.534506,2025-08-29T14:15:28.527990,38.993484,0.42101964927723473,0.410279843474985,0.006967771131697541,20.0,penalized,1.0128614262320446,,,,
48,COMPLETE,"[3.0, 2.9259413045618743]",2025-08-29T14:15:28.538042,2025-08-29T14:24:03.252449,514.714407,0.030903340581500516,0.5572991960181867,0.007122610036266436,20.0,passed,0.8600450901693802,3.0,1.0,4.0,2.9259413045618743
49,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:24:03.263458,2025-08-29T14:24:43.188126,39.924668,0.18113568350235776,0.11106081415946266,0.0027480905037657755,20.0,penalized,8.464731906569902,,,,
50,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:24:43.199135,2025-08-29T14:25:22.964756,39.765621,0.3260905267756802,0.4374389560949747,0.0036859547452329135,20.0,penalized,6.63921178129565,,,,
51,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:25:22.974784,2025-08-29T14:26:02.888507,39.913723,0.2667167008138231,0.18521141270689095,0.0049996240875250795,20.0,penalized,7.319695328871062,,,,
52,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:26:02.898419,2025-08-29T14:26:42.573134,39.674715,0.449695132813309,0.25087675037285667,0.0065853099002202735,20.0,penalized,1.0155520157306193,,,,
53,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:26:42.583160,2025-08-29T14:27:22.265145,39.681985,0.38992337486538253,0.5155539996856309,0.00454145878469977,20.0,penalized,1.0390689296654083,,,,
54,COMPLETE,"[5.0, 3.7338442969059114]",2025-08-29T14:27:22.275278,2025-08-29T14:36:05.150763,522.875485,0.06023544558388566,0.4596396914739963,0.0047678494615547495,20.0,passed,0.8456672876781074,5.0,1.0,6.0,3.7338442969059114
55,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:36:05.160772,2025-08-29T14:36:45.174233,40.013461,0.20845155242189667,0.5549021036002622,0.007275981578156855,20.0,penalized,1.0890511200884463,,,,
56,COMPLETE,"[4.0, 4.480143122106332]",2025-08-29T14:36:45.184242,2025-08-29T14:45:28.334874,523.150632,0.08280641705098651,0.3925387638809066,0.004787441900423588,20.0,passed,0.8357101000163241,4.0,1.0,5.0,4.480143122106332
57,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:45:28.344883,2025-08-29T14:46:08.070344,39.725461,0.4537394605599166,0.38318262485352267,0.003973400919266436,20.0,penalized,1.0110182463420778,,,,
58,COMPLETE,"[4.0, 2.8372534325669747]",2025-08-29T14:46:08.080370,2025-08-29T14:54:51.169516,523.089146,0.030903340581500516,0.5572991960181867,0.005864076986578423,20.0,passed,0.8616780271948261,4.0,1.0,5.0,2.8372534325669747
