number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_GR,attr_KR,attr_morph_type
45,COMPLETE,"[113.0, 3.4068905647440837]",2025-07-20T22:53:27.805238,2025-07-20T23:01:25.681729,477.876491,0.15414744970039757,0.01,0.008,20.0,58.0,171.0,uniform
46,PRUNED,,2025-07-20T23:01:25.689535,2025-07-20T23:09:23.790584,478.101049,0.15195354786822,0.01,0.001,28.98803525955146,,,
47,PRUNED,,2025-07-20T23:09:23.802697,2025-07-20T23:17:22.308152,478.505455,0.15185010443778332,0.01,0.001,28.493914390468767,,,
48,PRUNED,,2025-07-20T23:17:22.316212,2025-07-20T23:25:18.967245,476.651033,0.15197509504428425,0.01,0.001,29.09120588631061,,,
49,PRUNED,,2025-07-20T23:25:18.977749,2025-07-20T23:33:17.915850,478.938101,0.1520179688738568,0.01,0.001,28.971935803913176,,,
50,PRUNED,,2025-07-20T23:33:17.925287,2025-07-20T23:41:13.593008,475.667721,0.15167115304807272,0.01,0.001,27.23297709658644,,,
51,PRUNED,,2025-07-20T23:41:13.602269,2025-07-20T23:49:10.633057,477.030788,0.1518233955085504,0.01,0.001,26.806064496569764,,,
52,PRUNED,,2025-07-20T23:49:10.643329,2025-07-20T23:57:06.449085,475.805756,0.15172981223847146,0.01,0.001,26.51445985885466,,,
53,PRUNED,,2025-07-20T23:57:06.458183,2025-07-21T00:05:02.670768,476.212585,0.15206998453537002,0.01,0.001,28.763953521116683,,,
54,PRUNED,,2025-07-21T00:05:02.680877,2025-07-21T00:12:59.899918,477.219041,0.15190481933911087,0.01,0.001,27.08452869286147,,,
55,PRUNED,,2025-07-21T00:12:59.914739,2025-07-21T00:20:56.260051,476.345312,0.15175750807843558,0.01,0.001,26.998376133674725,,,
56,PRUNED,,2025-07-21T00:20:56.268589,2025-07-21T00:28:53.328769,477.06018,0.1518614542771508,0.01,0.001,27.06056814455418,,,
57,PRUNED,,2025-07-21T00:28:53.340486,2025-07-21T00:36:50.556136,477.21565,0.1521533352744886,0.01,0.001,29.65477947599506,,,
58,PRUNED,,2025-07-21T00:36:50.564663,2025-07-21T00:44:47.334527,476.769864,0.1517678426152183,0.01,0.001,28.893264840668635,,,
59,PRUNED,,2025-07-21T00:44:47.343693,2025-07-21T00:52:44.737480,477.393787,0.15196042868704682,0.01,0.001,27.457460123941747,,,
