number,CQ,MC,gamma,theta,m0,h,beta_prime,Nvirt
234,15.0,2.847248583168062,0.02089366983798107,0.19738950869501504,0.0031019699567173984,0.3083415752586432,22.653172999102573,184
235,25.0,3.4586407548067943,0.02089366983798107,0.27319308107532586,0.0031019699567173984,0.4121451086726931,37.37457780377375,168
237,22.0,3.7505671972928605,0.015600089552382755,0.0571877425152333,0.0024490921960693786,0.3438491851897433,47.36823398732476,387
240,52.0,5.135070540676575,0.053785947817175044,0.3670067238636712,0.004503957254295709,0.3149825948989308,40.66463236801917,248
241,24.0,5.499862799253656,0.05432498733423014,0.19738950869501504,0.0031019699567173984,0.4760733349243991,39.177358089441995,184
243,1.0,5.71699377092348,0.10533056013844987,0.13389634290796795,0.0036006440717229783,0.44056324197168206,22.653172999102573,179
244,33.0,1.4515210661769653,0.06946516250523027,0.44002758957555616,0.003118060429905457,0.45177534102854805,46.6994379533585,234
245,36.0,1.3148561215237033,0.07728821217816838,0.291055373929082,0.0012559170639996433,0.44762742876852546,43.23408606734672,381
246,54.0,3.969194225421136,0.028673037380959533,0.4198538148599367,0.004249781967221172,0.3309104070453074,44.81916521389473,248
248,30.0,3.4688787223732915,0.053785947817175044,0.3670067238636712,0.004876008624721988,0.3149825948989308,21.961111239072807,151
249,24.0,4.323937999998911,0.08266428109544308,0.4014015269252246,0.003757067047430519,0.3083415752586432,22.653172999102573,176
250,102.0,3.6048258649395812,0.017005257078706242,0.33123005228495284,0.0035615365966875086,0.4431531552026543,45.50633412511019,315
251,40.0,4.378406291982487,0.08576806192246061,0.6974845599862763,0.004503957254295709,0.3149825948989308,27.68155756043933,248
252,71.0,5.228099518749801,0.053785947817175044,0.3834782057311746,0.005914112567613271,0.3149825948989308,40.66463236801917,267
253,39.0,4.187483722611995,0.060982470062333566,0.631328690240336,0.002849128991100492,0.39563943394990164,33.94378665819784,176
254,37.0,5.533431369861878,0.059187361163126076,0.3275013607464429,0.0058111708095673256,0.4556476289153951,43.59266276223231,168
255,21.0,3.8215190289480514,0.04311677257598365,0.7771588448685787,0.0020243702023142966,0.39563943394990164,41.7851256260674,104
256,58.0,2.7492744059957315,0.017005257078706242,0.3875693695463503,0.0035615365966875086,0.41269244471616534,24.2354389689629,267
257,75.0,3.003604245755345,0.015600089552382755,0.2551992245531969,0.0024490921960693786,0.42151213485124533,34.77097777289335,380
258,123.0,2.8157627101155316,0.015600089552382755,0.4014015269252246,0.0024490921960693786,0.3438491851897433,34.33294983373221,387
259,46.0,3.9778381145856416,0.04311677257598365,0.7771588448685787,0.00217613561553207,0.3708289520813075,43.23408606734672,344
260,22.0,3.6966560844172536,0.059187361163126076,0.3275013607464429,0.0021705464694427657,0.36453946406370596,21.48524640682353,233
262,40.0,5.0517042172469715,0.0657200835865795,0.2741079299398312,0.004503957254295709,0.43803902936307104,24.547474099124774,248
263,13.0,1.0861923195325562,0.09351799178026932,0.47075213955523504,0.0055576481280557085,0.3083415752586432,47.89790526661749,188
265,49.0,2.4815516908826605,0.012748062481586112,0.5129446915461141,0.0010489273757506349,0.3158449143626015,34.77097777289335,381
266,22.0,5.461255882024991,0.05432498733423014,0.19738950869501504,0.0031019699567173984,0.4760733349243991,39.177358089441995,193
267,3.0,5.1041489783731055,0.09990193567828419,0.13389634290796795,0.004167225985881965,0.41909395361015866,20.231650132630513,86
268,32.0,3.5290735310888737,0.015600089552382755,0.2551992245531969,0.003580663856110568,0.4717749505104731,39.177358089441995,230
269,4.0,6.2118149600034815,0.06707779187420466,0.09581885346062773,0.004305768634622887,0.4055105807072985,41.7965657362074,125
270,69.0,0.8423583899699131,0.07728821217816838,0.291055373929082,0.003328155538637541,0.44762742876852546,48.53424530349422,381
271,61.0,3.7270586977898157,0.037761773751946934,0.2066065579973644,0.003328155538637541,0.49189025413414633,25.403239617363454,387
273,14.0,3.9893102285211977,0.04311677257598365,0.7771588448685787,0.002637251995909146,0.4717749505104731,40.7318459468553,230
274,28.0,4.233768745363005,0.030869367231862177,0.239084540229687,0.004249781967221172,0.43803902936307104,38.909085472461896,176
276,131.0,3.1318294465313197,0.012748062481586112,0.44002758957555616,0.003118060429905457,0.42151213485124533,46.6994379533585,380
277,47.0,4.22315314081556,0.028673037380959533,0.4198538148599367,0.005263302416213085,0.374076550480799,45.54284233747276,248
279,11.0,5.130412525182763,0.08576806192246061,0.0571877425152333,0.005288612874870094,0.3149825948989308,24.2354389689629,267
281,6.0,0.7718109983720203,0.10257595580433676,0.3875693695463503,0.002010039250480336,0.4534358457844642,40.138506085950596,126
284,19.0,4.000927010251045,0.09351799178026932,0.3561800082726778,0.0012559170639996433,0.3083415752586432,22.653172999102573,267
286,114.0,2.6205996510879053,0.017005257078706242,0.5065270758871951,0.004544691304773046,0.4431531552026543,20.71017850645178,315
288,67.0,3.358552223404475,0.015600089552382755,0.5883604670826516,0.005884523604555656,0.3438491851897433,47.36823398732476,388
289,72.0,3.9704598804922107,0.069274461903986,0.3875693695463503,0.005263302416213085,0.4837945426144974,40.66463236801917,315
290,109.0,3.4653587673646173,0.02964312761619531,0.3561800082726778,0.005884523604555656,0.4331340339328041,25.75833575464257,388
291,50.0,4.843631962283737,0.09351799178026932,0.5002000711050099,0.005037493199861073,0.47879371262673226,22.653172999102573,293
292,71.0,4.355028768675597,0.04311677257598365,0.38223755868212267,0.0031019699567173984,0.4760733349243991,33.777988251029605,344
