number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
14,COMPLETE,"[65.0, 5.446910001918697]",2025-10-24T00:21:19.183469,2025-10-24T00:29:17.526062,478.342593,0.046768583275212994,0.2,0.00288091956613632,50.0
15,COMPLETE,"[50.0, 5.533482770979615]",2025-10-24T00:29:17.537072,2025-10-24T00:37:16.027546,478.490474,0.0566316590138907,0.2,0.002158370353668685,50.0
16,COMPLETE,"[60.0, 5.58180064732176]",2025-10-24T00:37:16.038555,2025-10-24T00:45:14.797269,478.758714,0.052813939508048496,0.2,0.0023048286730615944,50.0
17,COMPLETE,"[3.0, 0.9730848390423027]",2025-10-24T00:45:14.807277,2025-10-24T00:53:12.937762,478.130485,0.5,0.2,0.001,50.0
18,COMPLETE,"[56.0, 5.590332484868237]",2025-10-24T00:53:12.948771,2025-10-24T01:01:12.431116,479.482345,0.05263214828822948,0.2,0.0024909308224832774,50.0
19,COMPLETE,"[55.0, 5.625314878615826]",2025-10-24T01:01:12.442126,2025-10-24T01:09:08.586489,476.144363,0.05339227291740202,0.2,0.0024758395787823585,50.0
20,COMPLETE,"[45.0, 5.640953399766774]",2025-10-24T01:09:08.596498,2025-10-24T01:17:05.184257,476.587759,0.05600643852398,0.2,0.002550647249552542,50.0
21,COMPLETE,"[32.0, 5.673009404474183]",2025-10-24T01:17:05.195267,2025-10-24T01:25:01.375662,476.180395,0.05829464878553165,0.2,0.0025610113794871446,50.0
22,COMPLETE,"[21.0, 5.177935026676409]",2025-10-24T01:25:01.386672,2025-10-24T01:32:57.385905,475.999233,0.06146980728841364,0.2,0.0025748502834385054,50.0
23,COMPLETE,"[55.0, 5.464799695414478]",2025-10-24T01:32:57.395913,2025-10-24T01:40:53.159157,475.763244,0.05783264210232138,0.2,0.001399805507127919,50.0
24,COMPLETE,"[3.0, 1.852579420239013]",2025-10-24T01:40:53.170165,2025-10-24T01:48:49.962135,476.79197,0.5,0.2,0.008,50.0
25,COMPLETE,"[47.0, 5.674475475109934]",2025-10-24T01:48:49.973144,2025-10-24T01:56:45.721283,475.748139,0.04616506102884265,0.2,0.0038985359660481315,50.0
26,COMPLETE,"[32.0, 5.8380970135346315]",2025-10-24T01:56:45.732293,2025-10-24T02:04:40.461094,474.728801,0.04912313556297036,0.2,0.00534989565821027,50.0
27,COMPLETE,"[25.0, 5.908590303872754]",2025-10-24T02:04:40.471103,2025-10-24T02:12:36.546245,476.075142,0.04758423215195573,0.2,0.008,50.0
28,COMPLETE,"[23.0, 5.911320273962039]",2025-10-24T02:12:36.556254,2025-10-24T02:20:31.220295,474.664041,0.04784648019665271,0.2,0.008,50.0
29,COMPLETE,"[23.0, 5.923931310812491]",2025-10-24T02:20:31.232306,2025-10-24T02:28:26.280032,475.047726,0.04781132450318368,0.2,0.008,50.0
30,COMPLETE,"[40.0, 5.7120414388044995]",2025-10-24T02:28:26.290041,2025-10-24T02:36:21.628721,475.33868,0.05063829636498528,0.2,0.004036883147205063,50.0
31,COMPLETE,"[23.0, 5.901767754256066]",2025-10-24T02:36:21.638730,2025-10-24T02:44:17.534223,475.895493,0.048104825114082525,0.2,0.008,50.0
32,COMPLETE,"[26.0, 5.924175032343946]",2025-10-24T02:44:17.546233,2025-10-24T02:52:12.600526,475.054293,0.04510398265573761,0.2,0.008,50.0
33,COMPLETE,"[18.0, 6.016991102288211]",2025-10-24T02:52:12.610535,2025-10-24T03:00:07.460743,474.850208,0.04985061110799621,0.2,0.008,50.0
34,COMPLETE,"[39.0, 5.742115780868596]",2025-10-24T03:00:07.471753,2025-10-24T03:08:02.055721,474.583968,0.05114538471087812,0.2,0.004076078208630809,50.0
35,COMPLETE,"[44.0, 5.769989126795698]",2025-10-24T03:08:02.065731,2025-10-24T03:15:56.957974,474.892243,0.05139044048129561,0.2,0.0037027363557804198,50.0
