number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
50,COMPLETE,"[161.0, 4.846159180741575]",2025-10-11T03:38:42.736170,2025-10-11T03:46:23.051623,460.315453,0.03967221402692776,0.2,0.001,50.0
51,COMPLETE,"[98.0, 5.981867776064996]",2025-10-11T03:46:23.062633,2025-10-11T03:54:01.217097,458.154464,0.04860124031021005,0.2,0.008,50.0
52,COMPLETE,"[126.0, 5.826856929697919]",2025-10-11T03:54:01.227978,2025-10-11T04:01:39.557800,458.329822,0.04360483758667077,0.2,0.008,50.0
53,COMPLETE,"[150.0, 5.436124810189396]",2025-10-11T04:01:39.568770,2025-10-11T04:09:17.525872,457.957102,0.034737824892763385,0.2,0.008,50.0
54,COMPLETE,"[164.0, 5.335656694181964]",2025-10-11T04:09:17.536759,2025-10-11T04:16:54.950686,457.413927,0.03334366404071426,0.2,0.004234521646308368,50.0
55,COMPLETE,"[156.0, 5.4854868712540625]",2025-10-11T04:16:54.961085,2025-10-11T04:24:33.300319,458.339234,0.03666226942461753,0.2,0.005472321217995199,50.0
56,COMPLETE,"[153.0, 5.648401439723548]",2025-10-11T04:24:33.311331,2025-10-11T04:32:12.498788,459.187457,0.03836557966830637,0.2,0.005917717902116582,50.0
57,COMPLETE,"[160.0, 5.5395665827949125]",2025-10-11T04:32:12.509256,2025-10-11T04:39:53.563801,461.054545,0.036127249106507435,0.2,0.00519443098903525,50.0
58,COMPLETE,"[169.0, 5.088245884040717]",2025-10-11T04:39:53.574804,2025-10-11T04:47:32.370422,458.795618,0.035088598945907636,0.2,0.003108556410256531,50.0
59,COMPLETE,"[163.0, 5.147292349043024]",2025-10-11T04:47:32.381069,2025-10-11T04:55:10.862970,458.481901,0.035188259487914895,0.2,0.0032432620218225583,50.0
60,COMPLETE,"[127.0, 5.814915229665206]",2025-10-11T04:55:10.873981,2025-10-11T05:02:49.351366,458.477385,0.04346405863011873,0.2,0.0069511930731014785,50.0
61,COMPLETE,"[150.0, 5.604928386589433]",2025-10-11T05:02:49.361374,2025-10-11T05:10:27.179357,457.817983,0.03970284262539806,0.2,0.006224123637178658,50.0
62,COMPLETE,"[160.0, 5.340792023816837]",2025-10-11T05:10:27.190778,2025-10-11T05:18:05.151016,457.960238,0.035557097738094456,0.2,0.004667599115999531,50.0
63,COMPLETE,"[151.0, 5.631229741933411]",2025-10-11T05:18:05.161526,2025-10-11T05:25:43.846165,458.684639,0.03989375462796705,0.2,0.006364208747074454,50.0
64,COMPLETE,"[27.0, 0.0]",2025-10-11T05:25:43.857175,2025-10-11T05:33:22.900072,459.042897,0.17400189586282697,0.2,0.001,50.0
65,COMPLETE,"[147.0, 5.626319705558992]",2025-10-11T05:33:22.910035,2025-10-11T05:41:03.486982,460.576947,0.04003077332459198,0.2,0.006441590645717898,50.0
66,COMPLETE,"[157.0, 5.373197928543776]",2025-10-11T05:41:03.496992,2025-10-11T05:48:42.607196,459.110204,0.03576249984229171,0.2,0.004744087234971852,50.0
67,COMPLETE,"[102.0, 5.9015862239564845]",2025-10-11T05:48:42.617855,2025-10-11T05:56:21.263050,458.645195,0.04789995126710388,0.2,0.008,50.0
68,COMPLETE,"[35.0, 6.008267986994269]",2025-10-11T05:56:21.274411,2025-10-11T06:04:00.014528,458.740117,0.058500357063639125,0.2,0.008,50.0
69,COMPLETE,"[147.0, 5.619066745772044]",2025-10-11T06:04:00.024537,2025-10-11T06:11:39.120270,459.095733,0.04004640310193479,0.2,0.006535764916051935,50.0
70,COMPLETE,"[51.0, 0.0]",2025-10-11T06:11:39.130662,2025-10-11T06:19:18.406648,459.275986,0.1290549020205071,0.2,0.008,50.0
71,COMPLETE,"[104.0, 5.921357831234234]",2025-10-11T06:19:18.418004,2025-10-11T06:26:56.836083,458.418079,0.04793208881167862,0.2,0.008,50.0
72,COMPLETE,"[145.0, 5.610038038527467]",2025-10-11T06:26:56.846774,2025-10-11T06:34:35.481079,458.634305,0.04015447082752324,0.2,0.006535298252110191,50.0
73,COMPLETE,"[104.0, 5.921912812111256]",2025-10-11T06:34:35.491027,2025-10-11T06:42:14.447526,458.956499,0.04798895159328906,0.2,0.008,50.0
74,COMPLETE,"[103.0, 5.919846788843159]",2025-10-11T06:42:14.457957,2025-10-11T06:49:54.122083,459.664126,0.04802242783420968,0.2,0.008,50.0
75,COMPLETE,"[102.0, 5.914475572694087]",2025-10-11T06:49:54.132797,2025-10-11T06:57:33.976391,459.843594,0.04805418992795034,0.2,0.008,50.0
76,COMPLETE,"[3.0, 0.0]",2025-10-11T06:57:33.986901,2025-10-11T07:05:13.901488,459.914587,0.26953174747452185,0.2,0.001,50.0
77,COMPLETE,"[159.0, 4.714199363634759]",2025-10-11T07:05:13.912499,2025-10-11T07:12:52.467683,458.555184,0.02762952771389019,0.2,0.004842504436232216,50.0
78,COMPLETE,"[102.0, 5.91402471733264]",2025-10-11T07:12:52.478195,2025-10-11T07:20:32.855519,460.377324,0.04805183371064939,0.2,0.008,50.0
79,COMPLETE,"[5.0, 0.0]",2025-10-11T07:20:32.866529,2025-10-11T07:28:12.266532,459.400003,0.3638509723809768,0.2,0.008,50.0
80,COMPLETE,"[145.0, 5.639515569008331]",2025-10-11T07:28:12.277095,2025-10-11T07:35:53.008311,460.731216,0.04023472555450479,0.2,0.0064893347397846635,50.0
81,COMPLETE,"[145.0, 5.596540296462612]",2025-10-11T07:35:53.019323,2025-10-11T07:43:33.490144,460.470821,0.040248889598714824,0.2,0.006507379977897337,50.0
82,COMPLETE,"[102.0, 5.9216269220989135]",2025-10-11T07:43:33.500752,2025-10-11T07:51:13.664378,460.163626,0.04808984880133904,0.2,0.008,50.0
83,COMPLETE,"[7.0, 0.0]",2025-10-11T07:51:13.674389,2025-10-11T07:58:52.839121,459.164732,0.25460005244443623,0.2,0.008,50.0
84,COMPLETE,"[100.0, 5.895201763015086]",2025-10-11T07:58:52.849516,2025-10-11T08:06:32.767566,459.91805,0.04811314284216855,0.2,0.008,50.0
85,COMPLETE,"[159.0, 5.363612410647914]",2025-10-11T08:06:32.777762,2025-10-11T08:14:12.310157,459.532395,0.03621669243405162,0.2,0.004601473073772,50.0
86,COMPLETE,"[146.0, 5.66292679448049]",2025-10-11T08:14:12.321047,2025-10-11T08:21:51.646181,459.325134,0.040237735202933285,0.2,0.006599013349289362,50.0
87,COMPLETE,"[63.0, 0.0]",2025-10-11T08:21:51.657192,2025-10-11T08:29:31.781921,460.124729,0.14113856697374277,0.2,0.001,50.0
88,COMPLETE,"[101.0, 5.901393712579587]",2025-10-11T08:29:31.792401,2025-10-11T08:37:16.119513,464.327112,0.048176035356297275,0.2,0.008,50.0
89,COMPLETE,"[159.0, 5.3218804091120795]",2025-10-11T08:37:16.129860,2025-10-11T08:45:06.922413,470.792553,0.03590410671953459,0.2,0.004730578708142514,50.0
90,COMPLETE,"[100.0, 5.907396268607071]",2025-10-11T08:45:06.933422,2025-10-11T08:52:56.228756,469.295334,0.048198505928767794,0.2,0.008,50.0
91,COMPLETE,"[101.0, 5.904852422960621]",2025-10-11T08:52:56.239766,2025-10-11T09:00:46.286749,470.046983,0.04821743310660595,0.2,0.008,50.0
92,COMPLETE,"[165.0, 5.224493030947766]",2025-10-11T09:00:46.297759,2025-10-11T09:08:36.233015,469.935256,0.035947781249929915,0.2,0.0032964370046508025,50.0
93,COMPLETE,"[162.0, 5.344400101099187]",2025-10-11T09:08:36.243543,2025-10-11T09:16:25.992589,469.749046,0.03624429659428244,0.2,0.004544979739306372,50.0
94,COMPLETE,"[133.0, 5.849339393988184]",2025-10-11T09:16:26.003884,2025-10-11T09:24:16.876712,470.872828,0.04315697896575272,0.2,0.007991565204968501,50.0
95,COMPLETE,"[100.0, 5.9116751333839375]",2025-10-11T09:24:16.886720,2025-10-11T09:32:07.359402,470.472682,0.04822256827172892,0.2,0.008,50.0
