number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC
48,COMPLETE,[0.12369517480125053],2025-09-09T22:45:04.850569,2025-09-09T22:53:09.697706,484.847137,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
49,COMPLETE,[0.23877915021195553],2025-09-09T22:53:09.712720,2025-09-09T23:01:14.977230,485.26451,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
50,COMPLETE,[0.25665255361271183],2025-09-09T23:01:14.992243,2025-09-09T23:09:20.463495,485.471252,0.045,0.2,0.041659352383894725,50.0,99.0,13.0,112.0,5.736385272925871
51,COMPLETE,[0.1511048012978301],2025-09-09T23:09:20.478509,2025-09-09T23:17:24.964324,484.485815,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
52,COMPLETE,[0.14653922342420123],2025-09-09T23:17:24.979337,2025-09-09T23:25:29.747404,484.768067,0.049078857803686815,0.2,0.05499999999999999,50.0,91.0,14.0,105.0,5.513500439581131
53,COMPLETE,[0.22516701322757865],2025-09-09T23:25:29.762417,2025-09-09T23:33:34.152145,484.389728,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
54,COMPLETE,[0.20173784549877785],2025-09-09T23:33:34.167159,2025-09-09T23:41:38.609935,484.442776,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
55,COMPLETE,[0.2511661776640566],2025-09-09T23:41:38.624948,2025-09-09T23:49:43.442059,484.817111,0.053,0.2,0.04258250655795072,50.0,86.0,24.0,110.0,5.6171950477934605
56,COMPLETE,[0.18562560653388202],2025-09-09T23:49:43.456071,2025-09-09T23:57:48.986819,485.530748,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
57,COMPLETE,[0.0955354163938567],2025-09-09T23:57:49.001833,2025-09-10T00:05:53.701838,484.700005,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
58,COMPLETE,[0.19639500729141798],2025-09-10T00:05:53.717853,2025-09-10T00:13:58.163632,484.445779,0.04743274250945339,0.2,0.03,50.0,99.0,23.0,122.0,5.898322938847309
59,COMPLETE,[0.240213014660156],2025-09-10T00:13:58.177645,2025-09-10T00:22:02.273110,484.095465,0.045,0.2,0.04240925530796093,50.0,99.0,13.0,112.0,5.691342505782018
60,COMPLETE,[0.12334311743739844],2025-09-10T00:22:02.289124,2025-09-10T00:30:06.234456,483.945332,0.053,0.2,0.05499999999999999,50.0,88.0,18.0,106.0,5.39399978366969
61,COMPLETE,[0.2390891661136169],2025-09-10T00:30:06.250470,2025-09-10T00:38:11.196696,484.946226,0.04958936102446075,0.2,0.03,50.0,96.0,24.0,120.0,5.89226322178537
62,COMPLETE,[0.10151334468380245],2025-09-10T00:38:11.211710,2025-09-10T00:46:16.123905,484.912195,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
63,COMPLETE,[0.11109333861372585],2025-09-10T00:46:16.138918,2025-09-10T00:54:21.375403,485.236485,0.04895241466947678,0.2,0.055,50.0,92.0,13.0,105.0,5.52532251379289
64,COMPLETE,[0.23233588146387854],2025-09-10T00:54:21.389416,2025-09-10T01:02:26.055391,484.665975,0.053,0.2,0.041594025935425535,50.0,86.0,24.0,110.0,5.634864529684066
65,COMPLETE,[0.07124418940546803],2025-09-10T01:02:26.070405,2025-09-10T01:10:30.788427,484.718022,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
