number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC
202,COMPLETE,[0.060816967126403866],2025-09-12T13:28:09.286205,2025-09-12T13:36:15.288374,486.002169,0.0492895258194481,0.2,0.050283990935742984,50.0,91.0,16.0,107.0,5.6052770498083175
203,COMPLETE,[0.10926810685524599],2025-09-12T13:36:15.304388,2025-09-12T13:44:21.466701,486.162313,0.048800944734921574,0.2,0.030772128398313236,50.0,99.0,21.0,120.0,5.87087809161142
204,COMPLETE,[0.06697601979832177],2025-09-12T13:44:21.481715,2025-09-12T13:52:27.652034,486.170319,0.049227765025711696,0.2,0.043518863654205125,50.0,90.0,19.0,109.0,5.697779753346383
205,COMPLETE,[0.04404099407800479],2025-09-12T13:52:27.667047,2025-09-12T14:00:34.559011,486.891964,0.047408907899155604,0.2,0.04778206286722711,50.0,94.0,13.0,107.0,5.6487627776693845
206,COMPLETE,[0.06574576775039338],2025-09-12T14:00:34.574025,2025-09-12T14:08:41.490010,486.915985,0.04721700153583939,0.2,0.03801660887416876,50.0,97.0,16.0,113.0,5.803298139491912
207,COMPLETE,[0.08662888642944803],2025-09-12T14:08:41.505023,2025-09-12T14:16:48.060687,486.555664,0.046110589501793364,0.2,0.052194697539294704,50.0,96.0,11.0,107.0,5.56883198437651
208,COMPLETE,[0.058540538788380815],2025-09-12T14:16:48.076701,2025-09-12T14:24:55.004697,486.927996,0.046443800206375646,0.2,0.03895747653048918,50.0,99.0,15.0,114.0,5.777101515636823
209,COMPLETE,[0.10272667133061297],2025-09-12T14:24:55.020712,2025-09-12T14:33:01.720505,486.699793,0.04567723861683639,0.2,0.03176543290798174,50.0,105.0,17.0,122.0,5.821946303222469
210,COMPLETE,[0.1053378978568983],2025-09-12T14:33:01.735518,2025-09-12T14:41:08.444318,486.7088,0.052441856387722224,0.2,0.03247065073911114,50.0,82.0,33.0,115.0,5.798451074783621
211,COMPLETE,[0.05516484076967],2025-09-12T14:41:08.459332,2025-09-12T14:49:15.712619,487.253287,0.05067194271866027,0.2,0.050045025000430704,50.0,91.0,16.0,107.0,5.600175020796765
212,COMPLETE,[0.07491352675924397],2025-09-12T14:49:15.727632,2025-09-12T14:57:22.919866,487.192234,0.04852487990312477,0.2,0.036424406420491204,50.0,93.0,21.0,114.0,5.785889383282466
213,COMPLETE,[0.05434023899636135],2025-09-12T14:57:22.933877,2025-09-12T15:05:30.260229,487.326352,0.04769860096080209,0.2,0.052481436823112154,50.0,94.0,12.0,106.0,5.55088414769166
214,COMPLETE,[0.05800398836396595],2025-09-12T15:05:30.276243,2025-09-12T15:13:37.707689,487.431446,0.04741958769011447,0.2,0.03900172837785477,50.0,97.0,15.0,112.0,5.7690502685882405
215,COMPLETE,[0.060437551320431965],2025-09-12T15:13:37.723705,2025-09-12T15:21:45.245230,487.521525,0.04684958337593197,0.2,0.04092927077620312,50.0,98.0,14.0,112.0,5.736921833897153
216,COMPLETE,[0.09963681993164217],2025-09-12T15:21:45.261244,2025-09-12T15:29:53.225166,487.963922,0.05031971449583225,0.2,0.0545658931100158,50.0,91.0,15.0,106.0,5.465383643994312
217,COMPLETE,[0.0942146886859216],2025-09-12T15:29:53.240179,2025-09-12T15:38:01.291178,488.050999,0.05010219112610531,0.2,0.050391579452428295,50.0,88.0,17.0,105.0,5.5921549158393855
