number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
71,COMPLETE,"[53.0, 0.659625502845743]",2025-08-23T02:50:46.221270,2025-08-23T02:58:45.945491,479.724221,0.14513410638260082,0.2,0.18256341000957177,50.0
72,COMPLETE,"[0.0, 0.0]",2025-08-23T02:58:45.957829,2025-08-23T03:06:46.548530,480.590701,0.16133631611726146,1.9999999999999998,0.0,50.0
73,COMPLETE,"[41.0, 1.1428244923956017]",2025-08-23T03:06:46.559849,2025-08-23T03:14:45.735114,479.175265,0.1119568413474572,0.2,0.19047292483927256,50.0
74,COMPLETE,"[17.0, 4.1799732905122156]",2025-08-23T03:14:45.745092,2025-08-23T03:22:44.092253,478.347161,0.0674087689787963,0.2,0.08483637520174157,50.0
75,COMPLETE,"[27.0, 2.7079228355065172]",2025-08-23T03:22:44.104263,2025-08-23T03:30:43.372487,479.268224,0.08036935391658923,0.2,0.12528774700509154,50.0
76,COMPLETE,"[29.0, 2.455034151424342]",2025-08-23T03:30:43.382977,2025-08-23T03:38:43.901981,480.519004,0.08422748786002256,0.2,0.1532517786091479,50.0
77,COMPLETE,"[35.0, 1.8418857271404705]",2025-08-23T03:38:43.911989,2025-08-23T03:46:41.720126,477.808137,0.09863010358839186,0.2,0.18040155728440407,50.0
78,COMPLETE,"[24.0, 3.345050157970327]",2025-08-23T03:46:41.730830,2025-08-23T03:54:41.217576,479.486746,0.07368818699443301,0.2,0.1153986489519022,50.0
79,COMPLETE,"[30.0, 2.2751147839805186]",2025-08-23T03:54:41.228552,2025-08-23T04:02:41.406784,480.178232,0.0868953730576317,0.2,0.15678469685444343,50.0
80,COMPLETE,"[6.0, 5.803455827636057]",2025-08-23T04:02:41.417385,2025-08-23T04:10:39.970821,478.553436,0.04305185046954598,0.2,0.03645307936060086,50.0
81,COMPLETE,"[54.0, 0.5570034792223343]",2025-08-23T04:10:39.981585,2025-08-23T04:18:40.905967,480.924382,0.14980167623540874,0.2,0.18402714164519052,50.0
82,COMPLETE,"[9.0, 5.678183487683646]",2025-08-23T04:18:40.916366,2025-08-23T04:26:42.389811,481.473445,0.04615147838156744,0.2,0.04823242282981682,50.0
83,COMPLETE,"[30.0, 1.9955176787674147]",2025-08-23T04:26:42.400235,2025-08-23T04:34:45.129308,482.729073,0.09205224863646125,0.2,0.2,50.0
84,COMPLETE,"[11.0, 5.0567418710105745]",2025-08-23T04:34:45.140318,2025-08-23T04:42:44.772046,479.631728,0.054421996630294095,0.2,0.06723394498447068,50.0
85,COMPLETE,"[17.0, 3.8980756114928687]",2025-08-23T04:42:44.782522,2025-08-23T04:50:46.737661,481.955139,0.06978828820299735,0.2,0.09036147042224096,50.0
86,COMPLETE,"[42.0, 1.2077119962397775]",2025-08-23T04:50:46.748251,2025-08-23T04:58:48.787634,482.039383,0.11124315824692504,0.2,0.181944715189335,50.0
87,COMPLETE,"[50.0, 0.674080775503664]",2025-08-23T04:58:48.798072,2025-08-23T05:06:47.250275,478.452203,0.1337134619168911,0.2,0.18492978407494903,50.0
88,COMPLETE,"[40.0, 1.3759890415970832]",2025-08-23T05:06:47.262185,2025-08-23T05:14:47.925620,480.663435,0.11176277636435876,0.2,0.2,50.0
89,COMPLETE,"[40.0, 1.358129639050616]",2025-08-23T05:14:47.936101,2025-08-23T05:22:49.419130,481.483029,0.11240539280928638,0.2,0.2,50.0
90,COMPLETE,"[33.0, 2.1342436130012743]",2025-08-23T05:22:49.430456,2025-08-23T05:30:49.030217,479.599761,0.09112774708795761,0.2,0.17292164721205175,50.0
