number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
61,COMPLETE,"[127.0, 4.249130085381969]",2025-10-16T06:17:01.738156,2025-10-16T06:24:57.039776,475.30162,0.05,0.05343122988290888,0.003,32.41083322866059
62,COMPLETE,"[116.0, 5.285399872414163]",2025-10-16T06:24:57.050787,2025-10-16T06:32:51.421565,474.370778,0.05,0.07770934295654473,0.003,41.310744757110484
63,COMPLETE,"[112.0, 5.3610368888295445]",2025-10-16T06:32:51.432574,2025-10-16T06:40:45.792108,474.359534,0.05,0.08340735607798723,0.003,42.69873002288785
64,COMPLETE,"[99.0, 5.712231180793505]",2025-10-16T06:40:45.803118,2025-10-16T06:48:40.640313,474.837195,0.05,0.0902707206768704,0.003,49.49799329650253
65,COMPLETE,"[64.0, 4.812056600860263]",2025-10-16T06:48:40.650322,2025-10-16T06:56:35.355063,474.704741,0.05,0.4231406628286388,0.003,39.74458226080027
66,COMPLETE,"[125.0, 4.6194409753869135]",2025-10-16T06:56:35.366074,2025-10-16T07:04:30.325377,474.959303,0.05,0.05859821758805238,0.003,37.36890946913435
67,COMPLETE,"[123.0, 4.993205492018684]",2025-10-16T07:04:30.336388,2025-10-16T07:12:25.108524,474.772136,0.05,0.06728736748357007,0.003,39.46081918054517
68,COMPLETE,"[125.0, 4.616380900424423]",2025-10-16T07:12:25.118532,2025-10-16T07:20:20.129884,475.011352,0.05,0.0593577328554472,0.003,37.213250774849584
69,COMPLETE,"[126.0, 4.613791980933685]",2025-10-16T07:20:20.140893,2025-10-16T07:28:15.286101,475.145208,0.05,0.0593474655789491,0.003,37.201800302660736
70,COMPLETE,"[111.0, 5.364107625783263]",2025-10-16T07:28:15.297111,2025-10-16T07:36:10.047401,474.75029,0.05,0.08310626745901763,0.003,42.82907427862023
71,COMPLETE,"[123.0, 4.781003751938901]",2025-10-16T07:36:10.057410,2025-10-16T07:44:04.766490,474.70908,0.05,0.05998960688563904,0.003,38.132713732759605
72,COMPLETE,"[121.0, 5.0011441409246205]",2025-10-16T07:44:04.776499,2025-10-16T07:51:59.646370,474.869871,0.05,0.06796256798361151,0.003,39.56666120457004
73,COMPLETE,"[111.0, 5.3663481491282194]",2025-10-16T07:51:59.657380,2025-10-16T07:59:54.656720,474.99934,0.05,0.08340709782949662,0.003,42.78023734234975
74,COMPLETE,"[112.0, 5.3631947233293875]",2025-10-16T07:59:54.666730,2025-10-16T08:07:50.718009,476.051279,0.05,0.08312347255874226,0.003,42.83131670060792
75,COMPLETE,"[105.0, 3.364891232984022]",2025-10-16T08:07:50.728018,2025-10-16T08:15:47.300769,476.572751,0.05,0.3322828923173512,0.003,20.0
76,COMPLETE,"[98.0, 5.794154936291955]",2025-10-16T08:15:47.311780,2025-10-16T08:23:44.552894,477.241114,0.05,0.09285574544823748,0.003,50.0
77,COMPLETE,"[42.0, 5.510204106384321]",2025-10-16T08:23:44.563905,2025-10-16T08:31:42.905485,478.34158,0.05,0.25619473985350083,0.003,50.0
78,COMPLETE,"[100.0, 5.655788113449324]",2025-10-16T08:31:42.917495,2025-10-16T08:39:41.596122,478.678627,0.05,0.08969068824076079,0.003,49.11683275715423
79,COMPLETE,"[100.0, 5.658455258265647]",2025-10-16T08:39:41.606132,2025-10-16T08:47:42.114898,480.508766,0.05,0.09005193621949674,0.003,49.12601790610033
80,COMPLETE,"[86.0, 5.82197009915757]",2025-10-16T08:47:42.125908,2025-10-16T08:55:39.489585,477.363677,0.05,0.11109108557000798,0.003,50.0
81,COMPLETE,"[123.0, 4.762802475413601]",2025-10-16T08:55:39.500594,2025-10-16T09:03:38.252286,478.751692,0.05,0.0616202510137628,0.003,37.72430171428206
82,COMPLETE,"[98.0, 5.683437897391322]",2025-10-16T09:03:38.263296,2025-10-16T09:11:35.192360,476.929064,0.05,0.08907828123137886,0.003,49.30799891201696
83,COMPLETE,"[129.0, 4.189427756255611]",2025-10-16T09:11:35.202368,2025-10-16T09:19:33.770897,478.568529,0.05,0.056356109658002015,0.003,30.753357211915393
84,COMPLETE,"[59.0, 4.23723789007895]",2025-10-16T09:19:33.782907,2025-10-16T09:27:32.187302,478.404395,0.05,0.6,0.003,37.15314743635797
85,COMPLETE,"[123.0, 4.995764637267985]",2025-10-16T09:27:32.197311,2025-10-16T09:35:32.312910,480.115599,0.05,0.06869209626334964,0.003,39.449137491879796
86,COMPLETE,"[122.0, 5.106283982237725]",2025-10-16T09:35:32.323920,2025-10-16T09:43:29.614306,477.290386,0.05,0.06888689901628917,0.003,39.51120474811661
87,COMPLETE,"[124.0, 4.758497442963656]",2025-10-16T09:43:29.624315,2025-10-16T09:51:29.082143,479.457828,0.05,0.062052142311452105,0.003,37.660405427712504
88,COMPLETE,"[123.0, 4.757124079649616]",2025-10-16T09:51:29.093153,2025-10-16T09:59:26.620751,477.527598,0.05,0.06195979306129263,0.003,37.66613419738689
89,COMPLETE,"[95.0, 3.1740798750905914]",2025-10-16T09:59:26.631760,2025-10-16T10:07:25.725758,479.093998,0.05,0.5379193496958256,0.003,20.0
90,COMPLETE,"[124.0, 4.753999401816299]",2025-10-16T10:07:25.736769,2025-10-16T10:15:23.184331,477.447562,0.05,0.062074608519939324,0.003,37.61199503186295
91,COMPLETE,"[123.0, 4.7572499349835695]",2025-10-16T10:15:23.195342,2025-10-16T10:23:22.952143,479.756801,0.05,0.06193571403283352,0.003,37.62586695626446
92,COMPLETE,"[111.0, 5.372584808870707]",2025-10-16T10:23:22.962153,2025-10-16T10:31:20.611860,477.649707,0.05,0.0843482790589318,0.003,42.64606458569196
93,COMPLETE,"[124.0, 4.762380424174378]",2025-10-16T10:31:20.622869,2025-10-16T10:39:19.402040,478.779171,0.05,0.06173242062692769,0.003,37.63960763998857
94,COMPLETE,"[60.0, 5.064201384008498]",2025-10-16T10:39:19.412048,2025-10-16T10:47:16.462220,477.050172,0.05,0.34881156450068646,0.003,43.26443662366111
95,COMPLETE,"[124.0, 4.761554746689563]",2025-10-16T10:47:16.472229,2025-10-16T10:55:15.359610,478.887381,0.05,0.06180500018533469,0.003,37.60705362687534
96,COMPLETE,"[124.0, 4.763720908535509]",2025-10-16T10:55:15.369619,2025-10-16T11:03:12.945836,477.576217,0.05,0.06172805518679036,0.003,37.608765681739136
97,COMPLETE,"[125.0, 4.765695286458211]",2025-10-16T11:03:12.955845,2025-10-16T11:11:12.376852,479.421007,0.05,0.0616519116197961,0.003,37.60904962687409
98,COMPLETE,"[110.0, 5.3740494168594175]",2025-10-16T11:11:12.388862,2025-10-16T11:19:09.855285,477.466423,0.05,0.08454338164881048,0.003,42.611573758816164
99,COMPLETE,"[111.0, 5.376053958381876]",2025-10-16T11:19:09.866296,2025-10-16T11:27:09.162596,479.2963,0.05,0.08367938941084761,0.003,42.752438767569295
100,COMPLETE,"[99.0, 5.677247888411518]",2025-10-16T11:27:09.173606,2025-10-16T11:35:08.358906,479.1853,0.05,0.08913534082857397,0.003,49.27176666276995
101,COMPLETE,"[99.0, 5.663151010419569]",2025-10-16T11:35:08.369916,2025-10-16T11:43:05.438104,477.068188,0.05,0.08971757415408577,0.003,49.18009775098096
102,COMPLETE,"[116.0, 5.246057289697754]",2025-10-16T11:43:05.450114,2025-10-16T11:51:07.547213,482.097099,0.05,0.07656229338297445,0.003,40.817577196474346
103,COMPLETE,"[101.0, 5.669671425844567]",2025-10-16T11:51:07.558223,2025-10-16T11:59:05.754617,478.196394,0.05,0.09024602178614667,0.003,49.12202577043888
104,COMPLETE,"[116.0, 5.243159729828996]",2025-10-16T11:59:05.765625,2025-10-16T12:07:06.937237,481.171612,0.05,0.07651489722240411,0.003,40.80807038350329
105,COMPLETE,"[129.0, 4.168300458491343]",2025-10-16T12:07:06.947247,2025-10-16T12:15:05.703942,478.756695,0.05,0.05220172146761622,0.003,31.352475415194874
106,COMPLETE,"[109.0, 5.509432743040152]",2025-10-16T12:15:05.714953,2025-10-16T12:23:05.973641,480.258688,0.05,0.08774307822587625,0.003,44.17702457842134
107,COMPLETE,"[109.0, 5.367503340196566]",2025-10-16T12:23:05.983651,2025-10-16T12:31:04.850170,478.866519,0.05,0.0846049229670387,0.003,42.55598728634637
108,COMPLETE,"[125.0, 4.6273242281910125]",2025-10-16T12:31:04.860178,2025-10-16T12:39:06.260285,481.400107,0.05,0.05915260781459099,0.003,37.37220543550104
109,COMPLETE,"[125.0, 4.625046737602814]",2025-10-16T12:39:06.271295,2025-10-16T12:47:05.127079,478.855784,0.05,0.05928025963290976,0.003,37.345421972066475
110,COMPLETE,"[106.0, 5.555054218219829]",2025-10-16T12:47:05.137089,2025-10-16T12:55:06.568026,481.430937,0.05,0.09153966198928272,0.003,45.45691099202588
111,COMPLETE,"[115.0, 5.245489144822659]",2025-10-16T12:55:06.579036,2025-10-16T13:03:05.610196,479.03116,0.05,0.07679706561325546,0.003,40.69498143069724
112,COMPLETE,"[124.0, 4.864130567980548]",2025-10-16T13:03:05.621206,2025-10-16T13:11:07.374085,481.752879,0.05,0.06405893489396997,0.003,38.18112016100363
113,COMPLETE,"[92.0, 5.803218885065995]",2025-10-16T13:11:07.384094,2025-10-16T13:19:06.311121,478.927027,0.05,0.10915823657958566,0.003,50.0
114,COMPLETE,"[125.0, 4.632542365675757]",2025-10-16T13:19:06.322132,2025-10-16T13:27:08.152359,481.830227,0.05,0.05891472363503911,0.003,37.45019627804588
115,COMPLETE,"[114.0, 5.240683994788056]",2025-10-16T13:27:08.162368,2025-10-16T13:35:06.736902,478.574534,0.05,0.07696546670181488,0.003,40.60263104495125
116,COMPLETE,"[115.0, 5.508419573964327]",2025-10-16T13:35:06.746911,2025-10-16T13:43:07.699696,480.952785,0.05,0.050071902557984556,0.003,50.0
117,COMPLETE,"[109.0, 5.532806610570209]",2025-10-16T13:43:07.710707,2025-10-16T13:51:06.362767,478.65206,0.05,0.058888443572408675,0.003,50.0
118,COMPLETE,"[122.0, 5.1960155219707715]",2025-10-16T13:51:06.372777,2025-10-16T13:59:06.146381,479.773604,0.05,0.04128380830724862,0.003,50.0
119,COMPLETE,"[117.0, 5.405187863313502]",2025-10-16T13:59:06.156391,2025-10-16T14:07:05.647743,479.491352,0.05,0.04561779604925718,0.003,50.0
120,COMPLETE,"[120.0, 5.3805513304359005]",2025-10-16T14:07:05.657753,2025-10-16T14:15:05.987018,480.329265,0.05,0.04352969768486465,0.003,50.0
121,COMPLETE,"[107.0, 5.531143500960708]",2025-10-16T14:15:05.997026,2025-10-16T14:23:06.590171,480.593145,0.05,0.058661710382905234,0.003,50.0
122,COMPLETE,"[123.0, 4.887471790737459]",2025-10-16T14:23:06.602182,2025-10-16T14:31:07.329786,480.727604,0.05,0.034821105566443245,0.003,50.0
123,COMPLETE,"[122.0, 4.775519184509191]",2025-10-16T14:31:07.339795,2025-10-16T14:39:08.243818,480.904023,0.05,0.042041664092719054,0.003,44.82146624939005
124,COMPLETE,"[31.0, 5.0180035245757555]",2025-10-16T14:39:08.254828,2025-10-16T14:47:07.109746,478.854918,0.05,0.4476044033829225,0.003,50.0
125,COMPLETE,"[112.0, 5.530990052361891]",2025-10-16T14:47:07.121756,2025-10-16T14:55:07.571965,480.450209,0.05,0.05613182649023486,0.003,50.0
126,COMPLETE,"[108.0, 5.536858154945437]",2025-10-16T14:55:07.582975,2025-10-16T15:03:06.244733,478.661758,0.05,0.05828190004850203,0.003,50.0
127,COMPLETE,"[116.0, 5.463703877362269]",2025-10-16T15:03:06.255741,2025-10-16T15:11:03.522747,477.267006,0.05,0.048200732896339776,0.003,50.0
128,COMPLETE,"[67.0, 5.580017093103362]",2025-10-16T15:11:03.533758,2025-10-16T15:19:00.830149,477.296391,0.05,0.16151001506218493,0.003,50.0
129,COMPLETE,"[109.0, 5.54053716795367]",2025-10-16T15:19:00.842161,2025-10-16T15:27:00.238633,479.396472,0.05,0.0576874284241766,0.003,50.0
130,COMPLETE,"[86.0, 5.645063327585127]",2025-10-16T15:27:00.249642,2025-10-16T15:34:58.645660,478.396018,0.05,0.1253243433560055,0.003,46.420069784707565
131,COMPLETE,"[122.0, 5.066662071624968]",2025-10-16T15:34:58.656670,2025-10-16T15:42:55.681069,477.024399,0.05,0.037400117765396895,0.003,50.0
132,COMPLETE,"[108.0, 5.544373253289664]",2025-10-16T15:42:55.692079,2025-10-16T15:50:53.755710,478.063631,0.05,0.05817561557610745,0.003,50.0
133,COMPLETE,"[64.0, 5.146321055128119]",2025-10-16T15:50:53.766720,2025-10-16T15:58:50.300098,476.533378,0.05,0.29600932928903945,0.003,43.20810027115641
134,COMPLETE,"[121.0, 5.201152811443126]",2025-10-16T15:58:50.312109,2025-10-16T16:06:49.334045,479.021936,0.05,0.041519091734793165,0.003,50.0
135,COMPLETE,"[122.0, 5.209552822767868]",2025-10-16T16:06:49.345054,2025-10-16T16:14:46.654458,477.309404,0.05,0.041700252981145075,0.003,50.0
136,COMPLETE,"[123.0, 5.070894738510727]",2025-10-16T16:14:46.664468,2025-10-16T16:22:43.638931,476.974463,0.05,0.03749727236498588,0.003,50.0
137,COMPLETE,"[107.0, 5.5276720726795485]",2025-10-16T16:22:43.649941,2025-10-16T16:30:43.474359,479.824418,0.05,0.059312322904452215,0.003,50.0
