number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,param_weight_2,param_weight_3,param_weight_4,param_weight_5,param_weight_6,attr_GR,attr_KR,attr_morph_type,attr_weights
25,COMPLETE,"[98.0, 2.8350036958600286]",2025-07-24T01:21:52.343526,2025-07-24T01:31:57.571675,605.228149,0.01,0.2272813903019989,0.008,29.80916358256768,5,2.824605115701627,0.19085027511227357,0.6698385454821928,0.5244844896969274,0.8421061018353784,0.5776965579092199,,,1.0,99.0,random,"[0.06803989665188635, 0.2388036662836715, 0.18698359461888633, 0.3002186510084694, 0.20595419143708643]"
26,COMPLETE,"[97.0, 2.879052358028292]",2025-07-24T01:31:57.581684,2025-07-24T01:42:29.769002,632.187318,0.01,0.16680369509284915,0.007130094519908108,34.962497133832734,6,2.054830659840005,0.3285602443612043,0.6494667744381633,0.01,0.7935796636333075,0.08300458850638762,0.5583834582859786,,1.0,98.0,random,"[0.13560089107840914, 0.26804299927052894, 0.0041271241242849714, 0.3275201774322976, 0.03425702396510594, 0.2304517841293733]"
27,COMPLETE,"[59.0, 2.0]",2025-07-24T01:42:29.781012,2025-07-24T01:53:32.373696,662.592684,0.01,0.018639117083376715,0.008,20.0,7,0.0,0.21419725220924715,0.01,0.01,0.6545772232647213,0.9290365088262109,0.4893138511319657,0.9582596424777697,1.0,60.0,random,"[0.06559633441583243, 0.003062426512911194, 0.003062426512911194, 0.20045946432736728, 0.2845106036091843, 0.14984877108412128, 0.2934599735376724]"
28,COMPLETE,"[98.0, 2.8195864230927175]",2025-07-24T01:53:32.385708,2025-07-24T02:04:04.120580,631.734872,0.01,0.23171949348966842,0.008,32.27930035854653,6,2.372093151634959,0.051635409314692904,1.0,0.01,0.14542378732961297,0.2114628943382299,0.3920888899054928,,1.0,99.0,random,"[0.02851822388118286, 0.5522997543677449, 0.00552299754367745, 0.08031752202137243, 0.11679090460089678, 0.21655059758512546]"
29,COMPLETE,"[94.0, 2.6940567473613903]",2025-07-24T02:04:04.131589,2025-07-24T02:15:10.462887,666.331298,0.01,0.18310946627441121,0.008,29.788523314666694,7,3.5569285239076622,0.4175690497429515,0.5981984100325519,0.01,0.06804096980819102,0.19341810545734392,0.8967094892313434,0.4140337181730697,1.0,95.0,random,"[0.16072898884106965, 0.2302561112468815, 0.0038491595327769554, 0.026190054755658745, 0.07444971444327937, 0.345157787860638, 0.15936818331969585]"
30,COMPLETE,"[109.0, 2.672740831167389]",2025-07-24T02:15:10.474898,2025-07-24T02:24:25.854385,555.379487,0.01,0.6,0.008,28.94825717946841,3,4.0,0.01,1.0,0.01,,,,,1.0,110.0,random,"[0.00980392156862745, 0.9803921568627451, 0.00980392156862745]"
31,COMPLETE,"[98.0, 2.772734622207172]",2025-07-24T02:24:25.865395,2025-07-24T02:34:06.542388,580.676993,0.01,0.3676194627395577,0.008,28.466573442127363,4,4.0,0.34716469749095025,0.8438155093926313,0.01,0.711863832137583,,,,1.0,99.0,random,"[0.18149137640547028, 0.4411313688827586, 0.005227817739452074, 0.372149436972319]"
32,COMPLETE,"[98.0, 2.6287118745392766]",2025-07-24T02:34:06.554399,2025-07-24T02:43:20.952273,554.397874,0.01,0.6,0.008,30.687215788859227,3,0.0,0.01,0.689541036631453,0.01,,,,,1.0,99.0,random,"[0.014093617541100951, 0.9718127649177981, 0.014093617541100951]"
33,COMPLETE,"[55.0, 2.2069613583753696]",2025-07-24T02:43:20.963283,2025-07-24T02:52:35.170404,554.207121,0.01,0.5999999999999999,0.001,28.07793535876222,3,3.2928839029311323,0.01,1.0,0.01,,,,,1.0,56.0,random,"[0.00980392156862745, 0.9803921568627451, 0.00980392156862745]"
34,COMPLETE,"[29.0, 2.1293854561480936]",2025-07-24T02:52:35.182415,2025-07-24T03:02:38.426811,603.244396,0.01,0.01,0.0048400075423001765,29.891342051022548,5,0.0,0.49365472201229754,1.0,0.08607829871565612,0.49517125790638966,0.7443042530119388,,,1.0,30.0,random,"[0.17510401109776258, 0.35470948274126, 0.030532788812678048, 0.17564194076031456, 0.26401177658798475]"
35,COMPLETE,"[113.0, 2.784365494532284]",2025-07-24T03:02:38.436820,2025-07-24T03:12:18.359133,579.922313,0.01,0.2608551686362759,0.008,27.321685480452818,4,2.5256356089609193,0.01,0.5740334518701871,0.01,0.29811535744820994,,,,1.0,114.0,random,"[0.011208892390541904, 0.6434279190584242, 0.011208892390541904, 0.33415429616049197]"
36,COMPLETE,"[112.0, 2.8681000752417356]",2025-07-24T03:12:18.370143,2025-07-24T03:22:23.539954,605.169811,0.01,0.17267369750790112,0.007216531893832339,25.735342094938375,5,3.067552262519619,0.01,0.6187602409313717,0.01,0.06694690084666416,0.36760826724920204,,,1.0,113.0,random,"[0.00931692577586597, 0.5764943237814536, 0.00931692577586597, 0.06237393061126287, 0.3424978940555517]"
